,time,ID,Sec,X,Y,Contact_count,Vertex,Speed,Sit,exit,STUCK,Chair,group,groupedP,totalP,Contact_sec,Contact_IDs,Contact_Pop
1032,121,7,102,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
1033,121,8,99,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
1034,121,9,96,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
1035,122,0,122,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
1036,122,1,121,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
1038,122,4,112,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
1039,122,5,109,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
1040,122,6,106,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
1041,122,7,103,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
1042,122,8,100,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
1043,122,9,97,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
1044,123,0,123,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
1045,123,1,122,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
1047,123,4,113,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
1048,123,5,110,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
1049,123,6,107,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
1050,123,7,104,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
1051,123,8,101,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
1052,123,9,98,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
1053,124,0,124,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
1054,124,1,123,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
1056,124,4,114,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
1057,124,5,111,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
1058,124,6,108,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
1059,124,7,105,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
1060,124,8,102,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
1061,124,9,99,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
1062,125,0,125,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
1063,125,1,124,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
1065,125,4,115,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
1066,125,5,112,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
1067,125,6,109,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
1068,125,7,106,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
1069,125,8,103,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
1070,125,9,100,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
1071,126,0,126,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
1072,126,1,125,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
